0_0: AT4G39850.1
0_249: Q9LNR3_AT1G17420
0_250: Q9LNQ4_AT1G17500
0_251: O04130_AT1G17745
0_252: B9DH36_AT1G17890
0_253: Q9LMU0_AT1G17890
0_254: Q8VYC5_AT1G18270
0_255: F4IAP5_AT1G18270
0_256: B3H739_AT1G18270
0_257: Q9LPR4_AT1G18500
0_258: O82796_AT1G18640
0_259: O22527_AT1G19670
0_260: Q24JM2_AT1G19910
0_261: P59228_AT1G19910
0_262: Q8W493_AT1G20020
0_263: B9DFU4_AT1G20020
0_264: C0Z2A8_AT1G20020
0_265: O48962_AT1G20050
0_266: Q0WRA8_AT1G20050
0_267: Q84P25_AT1G20480
0_268: Q3E6Y4_AT1G20480
0_269: P0C5B6_AT1G20480
0_270: Q84P21_AT1G20510
0_271: F4HST9_AT1G20510
0_272: Q9LM93_AT1G20575
0_273: Q8LDI9_AT1G20575
0_274: B9DG18_AT1G20620
0_275: C0Z2I6_AT1G20620
0_276: B9DHU0_AT1G20620
0_277: Q42547_AT1G20620
0_278: B9DHR6_AT1G20620
0_279: Q2V4M4_AT1G20620
0_280: F4HUL6_AT1G20620
0_281: A0A0B4UMT5_AT1G20620
0_282: Q96528_AT1G20630
0_283: Q0WUH6_AT1G20630
0_284: Q8LG64_AT1G20930
0_285: Q9SYP1_AT1G20960
0_286: Q8W577_AT1G20960
0_287: Q56Z02_AT1G20960
0_288: Q9LPL5_AT1G21400
0_289: Q56YP2_AT1G21980
0_290: Q9LM59_AT1G22020
0_291: Q9SK82_AT1G22400
0_292: W8Q3R5_AT1G22400
0_293: Q9SK84_AT1G22410
0_294: Q41923_AT1G22410
0_295: Q9SK86_AT1G22430
0_296: Q9SK87_AT1G22440
0_297: Q5M731_AT1G22940
0_298: Q9ZUC2_AT1G23730
0_299: Q8S528_AT1G23800
0_300: C1PID2_AT1G23800
0_301: C1PID4_AT1G23800
0_302: Q9ZUB3_AT1G23820
0_303: F4I7M5_AT1G23820
0_304: O48677_AT1G24110
0_305: Q8H1Y0_AT1G24180
0_306: Q8L743_AT1G24280
0_307: Q84M89_AT1G24320
0_308: P33207_AT1G24360
0_309: Q9FYK0_AT1G24650
0_310: F4IAT5_AT1G24735
0_311: F4IAT4_AT1G24735
0_312: Q9FXJ9_AT1G24735
0_313: Q9FXK1_AT1G24807
0_314: Q9FE37_AT1G24909
0_315: Q42565_AT1G25220
0_316: F4IAW5_AT1G25220
0_317: Q9FXK1_AT1G25220
0_318: Q8W4F3_AT1G25350
0_319: F4ICG2_AT1G25350
0_320: A4UVN3_AT1G25350
0_321: Q9C6L1_AT1G25410
0_322: P57792_AT1G26130
0_323: F4IE35_AT1G26130
0_324: Q9FZE0_AT1G26560
0_325: Q9FZE1_AT1G26570
0_326: P31166_AT1G27450
0_327: F4HSX1_AT1G27450
0_328: P55230_AT1G27680
0_329: Q0WVW7_AT1G27880
0_330: Q9C509_AT1G27980
0_331: Q8LG98_AT1G28120
0_332: A0A0B7FF67_AT1G28120
0_333: A0A0B7FGN7_AT1G28120
0_334: K9M9G0_AT1G28120
0_335: Q9SGP2_AT1G28440
0_336: Q8LPI9_AT1G29410
0_337: Q9FXG2_AT1G29870
0_338: O23627_AT1G29880
0_339: Q0WWW1_AT1G29880
0_340: Q42601_AT1G29900
0_341: B9DI51_AT1G29900
0_342: Q42018_AT1G29900
0_343: Q93Y37_AT1G30000
0_344: Q9C6Z2_AT1G30110
0_345: Q9C6Z3_AT1G30120
0_346: Q93VD3_AT1G30270
0_347: Q9C8G4_AT1G30350
0_348: Q9S9P8_AT1G30510
0_349: Q9SA77_AT1G30620
0_350: B9DGJ1_AT1G30620
0_351: A8MR41_AT1G30620
0_352: F4I6G9_AT1G30820
0_353: B9DG31_AT1G30820
0_354: Q9SY33_AT1G30870
0_355: Q940S3_AT1G31070
0_356: F4I7V2_AT1G31070
0_357: Q94A81_AT1G31070
0_358: Q9SA14_AT1G31180
0_359: Q8GXH6_AT1G31180
0_360: Q8LB97_AT1G31180
0_361: P52422_AT1G31220
0_362: Q9SA18_AT1G31230
0_363: Q9FT73_AT1G31360
0_364: O82768_AT1G31860
0_365: Q570A2_AT1G31860
0_366: Q682Q9_AT1G31910
0_367: Q9C6T1_AT1G31910
0_368: Q681V6_AT1G31910
0_369: Q67XB6_AT1G31910
0_370: Q0WLP1_AT1G31910
0_371: P25697_AT1G32060
0_372: Q39080_AT1G32210
0_373: Q42583_AT1G32380
0_374: Q93Z53_AT1G32440
0_375: A1L4Y2_AT1G32780
0_376: Q9C8P0_AT1G34430
0_377: Q9LNL0_AT1G34510
0_378: Q0WRX6_AT1G34510
0_379: F4HYE5_AT1G35530
0_380: F4HYE4_AT1G35530
0_381: I3XHK1_AT1G35530
0_382: Q39016_AT1G35670
0_383: Q56X29_AT1G35670
0_384: Q38970_AT1G36160
0_385: Q8GUN7_AT1G36280
0_386: F4I1L9_AT1G36280
0_387: Q84WV0_AT1G36370
0_388: P25857_AT1G42970
0_389: Q9MA79_AT1G43670
0_390: Q43287_AT1G43670
0_391: Q9MA74_AT1G43710
0_392: Q84VY3_AT1G43800
0_393: Q9C6Y8_AT1G44180
0_394: Q94LA4_AT1G44318
0_395: Q9LPE9_AT1G44820
0_396: Q0WSR1_AT1G44820
0_397: Q96512_AT1G44970
0_398: Q0WR53_AT1G44970
0_399: Q9FZG4_AT1G47840
0_400: Q9M5K3_AT1G48030
0_401: Q56W11_AT1G48030
0_402: Q8GXW5_AT1G48470
0_403: P57720_AT1G48850
0_404: F4I032_AT1G48850
0_405: F4I033_AT1G48850
0_406: Q0WUP7_AT1G48850
0_407: Q9FVP6_AT1G48860
0_408: F4I035_AT1G48860
0_409: Q8LC97_AT1G48860
0_410: Q9M9B4_AT1G49140
0_411: Q9SXA1_AT1G49340
0_412: Q9XIA9_AT1G49430
0_413: Q9FX85_AT1G49570
0_414: Q6E297_AT1G50000
0_415: Q6E295_AT1G50000
0_416: Q6E296_AT1G50000
0_417: Q9LPM8_AT1G50090
0_418: Q9LPM9_AT1G50110
0_419: Q0WUX7_AT1G50110
0_420: P36428_AT1G50200
0_421: F4I4Z2_AT1G50200
0_422: Q9LDU6_AT1G50430
0_423: A8MS34_AT1G50430
0_424: Q0WU95_AT1G50430
0_425: Q9SPK5_AT1G50480
0_426: Q96253_AT1G51650
0_427: Q42524_AT1G51680
0_428: A8MS69_AT1G51680
0_429: B1GUW0_AT1G51680
0_430: F4I9M9_AT1G51720
0_431: Q9C8I0_AT1G51720
0_432: Q84WI8_AT1G51720
0_433: Q9C920_AT1G53000
0_434: Q945P4_AT1G53000
0_435: Q9ZP06_AT1G53240
0_436: Q9MAH0_AT1G53310
0_437: B9DGT6_AT1G53310
0_438: Q42534_AT1G53830
0_439: Q9SYG7_AT1G54100
0_440: Q5M729_AT1G54220
0_441: Q9SLK6_AT1G54280
0_442: Q9SLK0_AT1G54340
0_443: Q0WT09_AT1G54340
0_444: Q06327_AT1G55020
0_445: Q9C723_AT1G55090
0_446: Q9C888_AT1G55180
0_447: Q9SAV3_AT1G55510
0_448: Q9ZVV4_AT1G55570
0_449: Q6NKY5_AT1G55880
0_450: F4I3G8_AT1G55880
0_451: Q42588_AT1G55920
0_452: P50318_AT1G56190
0_453: F4I3L1_AT1G56190
0_454: Q9FVS6_AT1G57870
0_455: F4I9N7_AT1G57870
0_456: Q9C6F5_AT1G58180
0_457: P42804_AT1G58290
0_458: Q9SM02_AT1G58440
0_459: Q9XIE6_AT1G59820
0_460: P52901_AT1G59900
0_461: C0Z306_AT1G59900
0_462: P42339_AT1G60490
0_463: Q8RXR0_AT1G60490
0_464: Q56YM3_AT1G60490
0_465: Q8GYN9_AT1G60550
0_466: Q0WUA3_AT1G60600
0_467: O22718_AT1G60810
0_468: Q8RY89_AT1G60890
0_469: F4HRM3_AT1G60890
0_470: Q9SEV0_AT1G61720
0_471: O04928_AT1G62430
0_472: P49243_AT1G62640
0_473: B9DHF9_AT1G62640
0_474: Q43348_AT1G62660
0_475: P46646_AT1G62800
0_476: F4I0D4_AT1G62800
0_477: Q0WSV8_AT1G62800
0_478: Q9LQ12_AT1G62940
0_479: Q8LDN8_AT1G63180
0_480: Q9C8T3_AT1G63290
0_481: F4I228_AT1G63380
0_482: F4I227_AT1G63380
0_483: Q9SH24_AT1G63380
0_484: Q0WUW5_AT1G63380
0_485: Q9SH30_AT1G63440
0_486: B5AXI8_AT1G63440
0_487: B5AXJ0_AT1G63440
0_488: B5AXJ3_AT1G63440
0_489: B5AXI7_AT1G63440
0_490: B5AXI6_AT1G63440
0_491: B5AXL4_AT1G63440
0_492: B5AXM3_AT1G63440
0_493: Q8LBU2_AT1G63460
0_494: Q0WTE6_AT1G63460
0_495: Q9CAD1_AT1G63660
0_496: F4I3P5_AT1G63660
0_497: Q84WB8_AT1G63660
0_498: Q9SH69_AT1G64190
0_499: P0CAN7_AT1G64200
0_500: Q2V4F3_AT1G64200
0_501: Q9C7W4_AT1G64400
0_502: Q9C7W7_AT1G64440
0_503: Q9SEE5_AT1G64440
0_504: Q8VZ49_AT1G64710
0_505: B9DI17_AT1G64710
0_506: A8MR36_AT1G64710
0_507: Q9ZSK1_AT1G64970
0_508: Q9S777_AT1G65060
0_509: F4I9T8_AT1G65060
0_510: O80800_AT1G65290
0_511: Q94BY2_AT1G65820
0_512: F4IBL0_AT1G65820
0_513: F4IBK9_AT1G65820
0_514: Q9SHX5_AT1G65820
0_515: Q9SRZ6_AT1G65930
0_516: Q56ZW5_AT1G65930
0_517: P43298_AT1G66150
0_518: Q9C524_AT1G66430
0_519: Q84R23_AT1G66520
0_520: Q9C712_AT1G66520
0_521: Q9FZH5_AT1G67070
0_522: B0FU36_AT1G67070
0_523: B0FU40_AT1G67070
0_524: B0FU42_AT1G67070
0_525: B0FU41_AT1G67070
0_526: B0FU48_AT1G67070
0_527: P10795_AT1G67090
0_528: C0Z396_AT1G67090
0_529: F4HRR5_AT1G67090
0_530: Q0WVH4_AT1G67090
0_531: Q9ZW95_AT1G67110
0_532: B0FU69_AT1G67110
0_533: B0FU68_AT1G67110
0_534: Q4V399_AT1G67440
0_535: Q9CAG3_AT1G67560
0_536: Q8LBA6_AT1G68000
0_537: Q94ID3_AT1G68460
0_538: Q9SX33_AT1G68710
0_539: Q8GVE8_AT1G68750
0_540: Q96519_AT1G68850
0_541: Q682W9_AT1G68850
0_542: Q15KI9_AT1G68890
0_543: Q9C544_AT1G69370
0_544: Q9SFH9_AT1G69740
0_545: Q94F88_AT1G69770
0_546: Q0WN75_AT1G69770
0_547: O48661_AT1G70310
0_548: Q5PNT7_AT1G70310
0_549: Q94CE4_AT1G70410
0_550: Q9S7E9_AT1G70580
0_551: Q9SSK1_AT1G70980
0_552: Q9SSJ8_AT1G71010
0_553: Q9C998_AT1G71100
0_554: Q0WL80_AT1G71220
0_555: Q9FVU9_AT1G71230
0_556: Q96520_AT1G71695
0_557: Q570F0_AT1G71695
0_558: Q8L8L7_AT1G71750
0_559: F4IA25_AT1G71750
0_560: Q9M9H1_AT1G71750
0_561: Q682L7_AT1G71750
0_562: P0DI07_AT1G71920
0_563: A8MRI5_AT1G71920
0_564: F4IBL7_AT1G71920
0_565: B9DHD3_AT1G71920
0_566: Q0V7Y9_AT1G71990
0_567: Q9C8W3_AT1G71990
0_568: Q0WPZ8_AT1G71990
0_569: Q9FNX8_AT1G72520
0_570: Q9SGE9_AT1G72550
0_571: F4IDD6_AT1G72550
0_572: Q9SGG3_AT1G72700
0_573: Q9SSP5_AT1G72810
0_574: Q84MD7_AT1G72880
0_575: C0Z363_AT1G72880
0_576: Q9SSM2_AT1G73050
0_577: O49213_AT1G73250
0_578: Q9C9T8_AT1G73740
0_579: Q9C9C2_AT1G74010
0_580: P94111_AT1G74020
0_581: Q9C9C4_AT1G74030
0_582: Q9C550_AT1G74040
0_583: B9DI07_AT1G74040
0_584: Q9M8D3_AT1G74260
0_585: Q570G7_AT1G74260
0_586: Q9CA67_AT1G74470
0_587: Q9CA61_AT1G74540
0_588: Q9CA60_AT1G74550
0_589: Q9SSF8_AT1G74740
0_590: Q9S795_AT1G74920
0_591: F4HXD2_AT1G74920
0_592: Q9C9P4_AT1G74960
0_593: C0Z297_AT1G74960
0_594: P52577_AT1G75280
0_595: A0A0B7FS78_AT1G75280
0_596: A0A0B7G3P8_AT1G75280
0_597: O50039_AT1G75330
0_598: C0Z3C3_AT1G75330
0_599: P59229_AT1G75630
0_600: F4HZ57_AT1G75630
0_601: Q9SYQ8_AT1G75820
0_602: C0LGJ2_AT1G75820
0_603: P11574_AT1G76030
0_604: Q9SFX3_AT1G76400
0_605: P14891_AT1G76490
0_606: C0Z3D4_AT1G76490
0_607: Q38812_AT1G76490
0_608: Q8LF80_AT1G76540
0_609: Q9SRE0_AT1G76730
0_610: P06525_AT1G77120
0_611: Q9CAP8_AT1G77590
0_612: Q8L796_AT1G77740
0_613: Q570A6_AT1G77740
0_614: Q8LEA2_AT1G78440
0_615: Q8S948_AT1G78510
0_616: Q9SYM4_AT1G78580
0_617: W8PVS8_AT1G78580
0_618: Q9ZV85_AT1G78670
0_619: O65355_AT1G78680
0_620: F4IBT7_AT1G78680
0_621: Q8LPF7_AT1G78800
0_622: F4IBV4_AT1G78800
0_623: O23654_AT1G78900
0_624: Q0WLF6_AT1G78900
0_625: B9DHY6_AT1G78900
0_626: B9DHU7_AT1G78900
0_627: Q56X25_AT1G78900
0_628: Q570K4_AT1G78900
0_629: Q8RWT0_AT1G78960
0_630: Q42599_AT1G79010
0_631: Q9SAK2_AT1G79460
0_632: P47996_AT1G79470
0_633: Q9SAJ6_AT1G79530
0_634: Q9SAJ4_AT1G79550
0_635: C0Z3A6_AT1G79550
0_636: Q56ZW1_AT1G79550
0_637: Q8LFV7_AT1G79550
0_638: Q9CA92_AT1G79890
0_639: Q42563_AT1G80050
0_640: Q9ZT84_AT1G80340
0_641: Q9SEX2_AT1G80350
0_642: Q0WR11_AT1G80350
0_643: Q9M8L4_AT1G80460
0_644: C0Z2P8_AT1G80460
0_645: F4HS76_AT1G80460
0_646: P93832_AT1G80560
0_647: Q42556_AT1G80660
0_648: F4HU00_AT1G80660
0_649: Q1PFB6_AT1G80660
0_650: Q9SAH9_AT1G80820
0_651: Q9ZU52_AT2G01140
0_652: Q41992_AT2G01140
0_653: Q9ZU38_AT2G01290
0_654: Q9ZU32_AT2G01350
0_655: A8MS71_AT2G01350
0_656: F4INA0_AT2G01350
0_657: A8MRX1_AT2G01350
0_658: Q56WI8_AT2G01350
0_659: F4INA9_AT2G01440
0_660: Q9ZVG0_AT2G01440
0_661: Q84M93_AT2G01450
0_662: Q0WRN5_AT2G01450
0_663: Q0WMP4_AT2G01450
0_664: Q9ZPS4_AT2G02000
0_665: Q9SKC9_AT2G02050
0_666: Q9SLM6_AT2G02930
0_667: O81053_AT2G03210
0_668: W8QP07_AT2G03210
0_669: Q9SWH5_AT2G03220
0_670: W8PV36_AT2G03220
0_671: P52839_AT2G03760
0_672: O82330_AT2G03760
0_673: Q9FX56_AT2G03760
0_674: Q9FX55_AT2G03760
0_675: Q1EBW5_AT2G04400
0_676: P49572_AT2G04400
0_677: Q8GYM9_AT2G04400
0_678: Q9SJC4_AT2G04450
0_679: Q8L3X9_AT2G04540
0_680: Q9SJ42_AT2G05140
0_681: Q9SIB9_AT2G05710
0_682: Q56WE8_AT2G05710
0_683: Q9SLA8_AT2G05990
0_684: P38605_AT2G07050
0_685: Q9SH76_AT2G07560
0_686: F4IMB5_AT2G07698
0_687: P92550_AT2G07698
0_688: P92549_AT2G07698
0_689: A7KNE3_AT2G07698
0_690: P93298_AT2G07741
0_691: Q3EC47_AT2G07751
0_692: P92533_AT2G07751
0_693: Q3EC42_AT2G07785
0_694: P92558_AT2G07785
0_695: Q9SI93_AT2G11810
0_696: W8PV29_AT2G11810
0_697: Q9SIY3_AT2G11890
0_698: Q56YA5_AT2G13360
0_699: F4IV99_AT2G13370
0_700: Q3B724_AT2G13680
0_701: C8C9X3_AT2G13680
0_702: Q0WM29_AT2G14170
0_703: A8MQH4_AT2G14170
0_704: A8MQR6_AT2G14170
0_705: P93732_AT2G14260
0_706: C0Z3J2_AT2G14260
0_707: F4IFH2_AT2G14260
0_708: Q9SJP6_AT2G15350
0_709: Q9SJP4_AT2G15370
0_710: Q39161_AT2G15620
0_711: Q56YX1_AT2G15620
0_712: Q05762_AT2G16370
0_713: Q9SI64_AT2G16500
0_714: Q9SI61_AT2G16570
0_715: B3H6H9_AT2G16790
0_716: Q9SLE0_AT2G16790
0_717: Q8L7R2_AT2G17265
0_718: Q38872_AT2G17290
0_719: P43256_AT2G17370
0_720: Q9SHP0_AT2G17630
0_721: Q9SI17_AT2G18140
0_722: Q9SI16_AT2G18150
0_723: P21216_AT2G18230
0_724: Q56X40_AT2G18230
0_725: Q9ZPX5_AT2G18450
0_726: Q8VWJ1_AT2G18950
0_727: P20649_AT2G18960
0_728: Q570C2_AT2G18960
0_729: Q56WU9_AT2G18960
0_730: Q96518_AT2G18980
0_731: Q0WTC2_AT2G18980
0_732: O64474_AT2G19110
0_733: Q0WLA3_AT2G19110
0_734: Q0WUP4_AT2G19110
0_735: O65896_AT2G19570
0_736: O82210_AT2G19670
0_737: O82209_AT2G19680
0_738: O82200_AT2G19800
0_739: B4F7Q2_AT2G19800
0_740: P93834_AT2G19860
0_741: A8MRW9_AT2G19860
0_742: Q9SK66_AT2G20360
0_743: O82662_AT2G20420
0_744: Q56Z20_AT2G20420
0_745: Q9SKU8_AT2G20690
0_746: Q9ZWT1_AT2G20860
0_747: Q9SKP6_AT2G21170
0_748: A8MRE8_AT2G21170
0_749: Q9SJU4_AT2G21330
0_750: F4IGL5_AT2G21330
0_751: F4IGL7_AT2G21330
0_752: C0Z2F2_AT2G21330
0_753: Q56ZF2_AT2G21330
0_754: Q9SJT7_AT2G21410
0_755: Q9SJ22_AT2G21770
0_756: Q9SJ20_AT2G21790
0_757: Q9FPG5_AT2G21790
0_758: Q9SJ05_AT2G21940
0_759: A8MRG1_AT2G21940
0_760: F4IIJ2_AT2G21940
0_761: Q9SIE3_AT2G22230
0_762: Q8LBU6_AT2G22230
0_763: Q38862_AT2G22240
0_764: F4IIN3_AT2G22240
0_765: Q56X07_AT2G22240
0_766: Q9SJZ2_AT2G22420
0_767: Q6NLQ7_AT2G22450
0_768: Q8VYN6_AT2G22480
0_769: O82399_AT2G22780
0_770: Q0WUS4_AT2G22780
0_771: Q43309_AT2G22810
0_772: O64806_AT2G22950
0_773: Q8RUW5_AT2G22990
0_774: A8MQW0_AT2G22990
0_775: Q3EBW0_AT2G22990
0_776: A8MR78_AT2G22990
0_777: F4IKK4_AT2G22990
0_778: O80458_AT2G23410
0_779: Q84WV8_AT2G23420
0_780: O80476_AT2G23600
0_781: C0Z395_AT2G23600
0_782: O80477_AT2G23610
0_783: O04046_AT2G23800
0_784: B6DVJ8_AT2G23800
0_785: P30184_AT2G24200
0_786: F4INR3_AT2G24200
0_787: Q56WM8_AT2G24200
0_788: Q9SJB3_AT2G24520
0_789: Q9SJA7_AT2G24580
0_790: Q53YK5_AT2G24580
0_791: Q9SK52_AT2G24800
0_792: B0LL85_AT2G24800
0_793: P52032_AT2G25080
0_794: Q9SKJ5_AT2G25540
0_795: W8QNX9_AT2G25540
0_796: Q9SLA2_AT2G25610
0_797: O80988_AT2G26080
0_798: O04420_AT2G26230
0_799: O48709_AT2G26420
