Orthogroup	athaliana	creinhardtii	esiliculosus	synechocystis	tisochrysis_lutea
OG0000010		Cre01.g040379.t1.2, Cre02.g092500.t1.1, Cre03.g150350.t1.1, Cre03.g187950.t1.1, Cre06.g263800.t1.1, Cre07.g342450.t1.1, Cre09.g396139.t1.1, Cre09.g401812.t1.1, Cre09.g401812.t2.1, Cre10.g442650.t1.2, Cre17.g739900.t1.2, Cre17.g739950.t1.1	Ec-00_000970, Ec-14_003340, Ec-15_004570, Ec-17_002950, Ec-22_001080, Ec-24_003640, Ec-25_002930	sll1582	Tiso_gene_10312, Tiso_gene_11646, Tiso_gene_11647, Tiso_gene_12065, Tiso_gene_1298, Tiso_gene_1299, Tiso_gene_14774, Tiso_gene_1541, Tiso_gene_15412, Tiso_gene_1542, Tiso_gene_17146, Tiso_gene_2555, Tiso_gene_4912, Tiso_gene_4914, Tiso_gene_6772, Tiso_gene_7081, Tiso_gene_7084, Tiso_gene_7745, Tiso_gene_7785, Tiso_gene_9370
OG0000011		Cre03.g167712.t1.1, Cre10.g421150.t1.1, Cre14.g631145.t1.1, Cre14.g631148.t1.1	Ec-00_000870, Ec-00_007250, Ec-03_000500, Ec-03_000520, Ec-05_001620, Ec-07_001980, Ec-08_000100, Ec-08_000110, Ec-08_006060, Ec-10_003000, Ec-10_003790, Ec-13_002890, Ec-13_003120, Ec-13_004330, Ec-15_000940, Ec-17_000970, Ec-17_000990, Ec-17_001000, Ec-17_001010, Ec-17_001020, Ec-17_001030, Ec-17_002600, Ec-21_000940, Ec-21_000950, Ec-22_001500, Ec-22_003120, Ec-22_003140, Ec-22_003160, Ec-22_003220, Ec-23_002620, Ec-25_003490, Ec-28_002060, Ec-28_002690, Ec-28_003870		
OG0000012		Cre04.g223150.t1.1, Cre06.g258051.t1.1, Cre09.g389541.t1.1, Cre10.g459350.t1.1, Cre15.g637850.t1.1, Cre15.g638000.t1.1, Cre15.g638050.t1.1, Cre15.g638100.t1.1, Cre15.g638150.t1.1, Cre15.g638300.t1.1, Cre15.g638303.t1.1, Cre15.g638304.t1.1, Cre15.g638401.t1.1, Cre15.g638550.t1.1, Cre15.g638650.t1.1, Cre15.g638651.t1.1, Cre15.g638700.t1.1, Cre15.g638750.t1.2, Cre15.g638950.t1.1, Cre15.g638954.t1.1, Cre15.g638954.t2.1, Cre15.g638956.t1.1, Cre15.g639000.t1.2, Cre15.g639304.t1.2, Cre15.g639308.t1.2, Cre17.g739800.t1.1, Cre19.g750497.t1.1, Cre19.g750697.t1.1, Cre19.g750747.t1.1	Ec-05_002230		Tiso_gene_10039, Tiso_gene_13164, Tiso_gene_15205, Tiso_gene_16999, Tiso_gene_2847, Tiso_gene_4531, Tiso_gene_9654
OG0000013		Cre06.g264750.t1.2, Cre06.g264950.t1.2, Cre06.g265350.t1.2, Cre06.g266700.t1.2, Cre06.g268050.t1.2, Cre06.g268300.t1.2, Cre06.g271350.t1.2, Cre06.g273900.t1.2, Cre06.g274200.t1.2, Cre06.g274800.t1.2, Cre06.g275850.t1.2, Cre06.g276500.t1.2, Cre06.g276950.t1.2, Cre12.g504500.t1.2, Cre12.g504750.t1.2, Cre12.g505550.t1.2, Cre12.g506250.t1.2, Cre13.g570100.t1.2, Cre13.g590800.t1.2, Cre13.g591150.t1.2, Cre17.g708550.t1.2, Cre17.g709200.t1.2, Cre17.g710400.t1.2, Cre17.g711700.t1.2, Cre17.g713400.t1.2, Cre17.g714100.t1.2, Cre17.g714500.t1.2	Ec-00_005470, Ec-03_003330, Ec-04_005030, Ec-07_000520, Ec-26_005860, Ec-26_005900, Ec-26_006370, Ec-26_006450		Tiso_gene_14916, Tiso_gene_14916
OG0000014		Cre02.g144050.t2.1, Cre02.g144100.t1.2, Cre03.g157000.t1.1, Cre03.g204050.t1.1, Cre03.g204100.t1.1, Cre06.g278093.t1.1, Cre06.g278094.t1.1, Cre06.g311950.t1.1, Cre07.g325050.t1.1, Cre09.g390750.t1.1, Cre09.g414750.t1.1, Cre09.g414900.t1.1, Cre09.g415100.t1.1, Cre09.g417250.t1.1, Cre11.g467660.t1.1, Cre17.g721750.t1.1, Cre24.g755397.t1.1	Ec-15_001230		Tiso_gene_11544, Tiso_gene_12663, Tiso_gene_12810, Tiso_gene_14009, Tiso_gene_14141, Tiso_gene_15312, Tiso_gene_16453, Tiso_gene_16454, Tiso_gene_1659, Tiso_gene_16893, Tiso_gene_1837, Tiso_gene_20223, Tiso_gene_5201, Tiso_gene_5265, Tiso_gene_6193, Tiso_gene_6453, Tiso_gene_7454, Tiso_gene_9545
OG0000015	F4JID0_AT4G08800, O65463_AT4G28540, Q1PEB0_AT4G08800, Q39050_AT4G14340, Q39052_AT5G43320, Q56YK2_AT4G28860, Q5XF24_AT1G04440, Q67Y90_AT4G28860, Q84WN7_AT1G04440, Q8LFV8_AT4G28540, Q8LPI7_AT4G28860, Q8LPJ1_AT4G28540, Q93Z18_AT4G28880, Q9LDY6_AT4G08800, Q9LSX4_AT5G43320, Q9SVV3_AT4G28860, Q9SVV5_AT4G28880	Cre01.g014600.t1.2, Cre02.g114200.t1.1, Cre06.g281100.t1.1, Cre12.g549750.t1.2, Cre16.g666200.t1.2	Ec-01_009000, Ec-01_011000, Ec-07_002230, Ec-13_001990, Ec-15_003720, Ec-23_000950, Ec-sdr_f_000040		Tiso_gene_11667, Tiso_gene_16481, Tiso_gene_2262, Tiso_gene_3369, Tiso_gene_5000
OG0000016		Cre06.g264600.t1.2, Cre06.g265050.t1.2, Cre06.g265200.t1.2, Cre06.g265450.t1.2, Cre06.g266600.t1.2, Cre06.g268000.t1.2, Cre06.g268400.t1.2, Cre06.g271300.t1.2, Cre06.g273950.t1.2, Cre06.g274150.t1.2, Cre06.g274300.t1.2, Cre06.g275700.t1.2, Cre06.g276650.t1.2, Cre06.g276800.t1.2, Cre12.g504600.t1.2, Cre12.g505450.t1.2, Cre12.g506450.t1.2, Cre16.g650250.t1.2, Cre17.g708200.t1.2, Cre17.g709100.t1.2, Cre17.g710500.t1.2, Cre17.g711800.t1.2, Cre17.g713500.t1.2, Cre17.g714000.t1.2, Cre17.g714600.t1.2	Ec-00_005420, Ec-07_000470, Ec-07_000480, Ec-26_005840, Ec-26_005870, Ec-26_005920, Ec-26_006400, Ec-26_006490		Tiso_gene_2714
OG0000017		Cre06.g264650.t1.2, Cre06.g265250.t1.2, Cre06.g265500.t1.2, Cre06.g267950.t1.2, Cre06.g268350.t1.2, Cre06.g271250.t1.2, Cre06.g274000.t1.2, Cre06.g274101.t1.1, Cre06.g274350.t1.2, Cre06.g274850.t1.2, Cre06.g275750.t1.2, Cre06.g276600.t1.2, Cre06.g276850.t1.2, Cre12.g504650.t1.2, Cre12.g504800.t1.2, Cre12.g505500.t1.2, Cre12.g506500.t1.2, Cre13.g569950.t1.2, Cre17.g708150.t1.2, Cre17.g708700.t1.2, Cre17.g709050.t1.2, Cre17.g710550.t1.2, Cre17.g711850.t1.2, Cre17.g713550.t1.2, Cre17.g713950.t1.2	Ec-00_005440, Ec-04_002240, Ec-07_000450, Ec-07_000500, Ec-26_005820, Ec-26_005890, Ec-26_006380, Ec-26_006470		Tiso_gene_10380
OG0000018	F4IKL5_AT2G29300, F4IKL8_AT2G29310, F4IKM1_AT2G29340, O49332_AT2G30670, P0DKI3_AT1G07450, Q42182_AT2G29300, Q42232_AT2G29300, Q8RX32_AT1G07450, Q9LHT0_AT5G06060, Q9ZW03_AT2G29150, Q9ZW12_AT2G29260, Q9ZW13_AT2G29290, Q9ZW14_AT2G29310, Q9ZW15_AT2G29320, Q9ZW16_AT2G29330, Q9ZW19_AT2G29360, Q9ZW20_AT2G29370	Cre01.g047600.t1.2, Cre07.g315750.t1.2, Cre16.g682100.t1.2	Ec-01_004330, Ec-14_002990, Ec-14_003000, Ec-14_003030, Ec-19_005190, Ec-19_005210	slr1994, slr2124	Tiso_gene_1283, Tiso_gene_15179, Tiso_gene_15180, Tiso_gene_7193, Tiso_gene_8022
OG0000019		Cre06.g264800.t1.2, Cre06.g264900.t1.1, Cre06.g265400.t1.2, Cre06.g266750.t1.2, Cre06.g268100.t1.2, Cre06.g268250.t1.2, Cre06.g271376.t1.1, Cre06.g273850.t1.2, Cre06.g274250.t1.2, Cre06.g274750.t1.2, Cre06.g275800.t1.2, Cre06.g276550.t1.2, Cre06.g276900.t1.2, Cre12.g504550.t1.2, Cre12.g504700.t1.2, Cre12.g505600.t1.2, Cre12.g506200.t1.2, Cre13.g570050.t1.2, Cre17.g708600.t1.2, Cre17.g709150.t1.2, Cre17.g710450.t1.2, Cre17.g711750.t1.2, Cre17.g713450.t1.2, Cre17.g714050.t1.2, Cre17.g714550.t1.2	Ec-00_005460, Ec-04_005020, Ec-07_000510, Ec-26_005850, Ec-26_005910, Ec-26_006360, Ec-26_006460		
OG0000020		Cre02.g079750.t1.1, Cre13.g571200.t1.1	Ec-00_001360, Ec-01_008850, Ec-03_003420, Ec-12_005760, Ec-14_003470, Ec-23_001350	sll0267, sll0821, sll1170, sll1895, slr0302, slr0359, slr0842, slr1047, slr1102, slr1103, slr1104, slr1305, slr1588, slr1593, slr1692, slr1798, slr2077, slr6110	Tiso_gene_10444, Tiso_gene_12219, Tiso_gene_17793, Tiso_gene_19497, Tiso_gene_5138, Tiso_gene_6152
OG0000021	O23674_AT1G02050, P13114_AT5G13930, Q460Q3_AT5G13930, Q460Q4_AT5G13930, Q460R0_AT5G13930, Q460R2_AT5G13930, Q460R3_AT5G13930, Q460R8_AT5G13930, Q460S2_AT5G13930, Q460S8_AT5G13930, Q460T2_AT5G13930, Q4JNT9_AT1G02050, Q4JNU1_AT1G02050, Q4JNU2_AT1G02050, Q4JNU5_AT1G02050, Q4JNU6_AT1G02050, Q4JNV9_AT1G02050, Q4JNW2_AT1G02050, Q4JNW4_AT1G02050, Q4JNW5_AT1G02050, Q4JNW6_AT1G02050, Q4JNW8_AT1G02050, Q5FBU5_AT5G13930, Q5FBU6_AT5G13930, Q5FBU8_AT5G13930, Q5FBU9_AT5G13930, Q5FBV0_AT5G13930		Ec-02_004580, Ec-07_003670, Ec-07_006660		
OG0000022		Cre01.g003950.t1.1, Cre01.g003950.t2.1, Cre01.g004124.t1.1, Cre01.g004124.t2.1, Cre01.g004157.t1.2, Cre02.g142166.t1.1, Cre02.g142166.t2.1, Cre05.g232500.t1.1, Cre05.g232500.t2.1, Cre05.g233650.t1.1, Cre07.g319650.t1.1, Cre08.g373200.t1.2, Cre09.g397000.t1.1, Cre09.g397050.t1.1, Cre09.g399663.t1.1, Cre09.g399663.t2.1, Cre10.g427850.t1.1, Cre10.g429750.t1.1, Cre10.g457331.t1.1, Cre10.g457400.t1.1, Cre11.g467629.t2.1, Cre11.g469500.t1.1, Cre11.g469500.t2.1, Cre13.g586650.t1.1, Cre13.g586700.t1.1, Cre13.g586700.t2.1, Cre13.g587550.t1.1, Cre13.g587550.t2.1, Cre17.g698903.t1.2, Cre17.g708000.t1.1			
OG0000023		Cre01.g050850.t1.2, Cre01.g050850.t2.1, Cre06.g292550.t1.2, Cre06.g308350.t1.2, Cre09.g391023.t1.1, Cre12.g500350.t1.2	Ec-01_004530, Ec-08_001920, Ec-11_005950, Ec-14_000560, Ec-15_003320, Ec-17_003300, Ec-18_000020, Ec-20_000470, Ec-20_003050, Ec-23_000740, Ec-23_003160, Ec-23_003170, Ec-23_003430		Tiso_gene_10912, Tiso_gene_12989, Tiso_gene_16029, Tiso_gene_19600, Tiso_gene_19992, Tiso_gene_19992, Tiso_gene_4717, Tiso_gene_52, Tiso_gene_8491, Tiso_gene_9704
OG0000024		Cre10.g446450.t1.2, Cre11.g469400.t1.2	Ec-08_005640	sll0039, sll0396, sll0649, sll0789, sll0797, sll1229, sll1292, sll1330, sll1555, sll5059, slr0081, slr0115, slr0322, slr0474, slr0947, slr1037, slr1042, slr1400, slr1584, slr1837, slr1909, slr1982, slr2099, slr2100, slr6040	
OG0000025	Q0WWD6_AT4G22880, Q39110_AT4G25420, Q39111_AT5G51810, Q39112_AT5G07200, Q56Y27_AT4G25420, Q96323_AT4G22880, U3MZ83_AT4G25420, U3MZ89_AT4G25420, U3MZ99_AT4G25420, U3MZJ1_AT4G25420, U3MZJ7_AT4G25420, U3MZK0_AT4G25420, U3MZK8_AT4G25420, U3N126_AT4G25420, U3N144_AT4G25420, U3N147_AT4G25420, U3N151_AT4G25420, U3N1S3_AT4G25420, U3N1S9_AT4G25420, U3N1T6_AT4G25420, U3N1U1_AT4G25420, U3N6E7_AT4G25420, U3N6F2_AT4G25420, U3N6F8_AT4G25420, U3N6G2_AT4G25420, U3N6G9_AT4G25420, U3N6H3_AT4G25420				
